id,thai,romanization,english,category,used_in_lessons,reviewer_ok,reviewer_correction,reviewer_note
"g01","สวัสดี","sa-wàt-dee","hello","greetings","YES","","",""
"g02","ขอบคุณ","khòp-khun","thank you","greetings","YES","","",""
"g04","ขอโทษ","khǒr-thôht","sorry","greetings","YES","","",""
"g05","ใช่","châi","yes","greetings","YES","","",""
"g06","ไม่","mâi","no","greetings","YES","","",""
"g07","เข้าใจ","khâo-jai","I understand","greetings","YES","","",""
"g09","ช้าๆ","cháa-cháa","slowly","greetings","YES","","",""
"g10","อีกครั้ง","èek-kráng","again","greetings","YES","","",""
"g11","ห้องน้ำ","hông-nám","bathroom","greetings","YES","","",""
"g12","เท่าไร","thâo-rai","how much","greetings","YES","","",""
"g13","แพง","phaeng","expensive","greetings","YES","","",""
"g14","ถูก","thùuk","cheap","greetings","YES","","",""
"g15","ฉัน","chán","I / me","greetings","YES","","",""
"g16","คุณ","khun","you","greetings","YES","","",""
"g17","เขา","khǎo","he / she","greetings","YES","","",""
"g18","ยินดีต้อนรับ","yin-dee-tôn-ráp","welcome","greetings","YES","","",""
"n02","หนึ่ง","nèung","one","numbers","YES","","",""
"n03","สอง","sǒng","two","numbers","YES","","",""
"n04","สาม","sǎam","three","numbers","YES","","",""
"n05","สี่","sèe","four","numbers","YES","","",""
"n06","ห้า","hâa","five","numbers","YES","","",""
"n07","หก","hòk","six","numbers","YES","","",""
"n08","เจ็ด","jèt","seven","numbers","YES","","",""
"n09","แปด","bpàet","eight","numbers","YES","","",""
"n10","เก้า","gâo","nine","numbers","YES","","",""
"n11","สิบ","sìp","ten","numbers","YES","","",""
"n12","ยี่สิบ","yêe-sìp","twenty","numbers","YES","","",""
"n13","ร้อย","rói","one hundred","numbers","YES","","",""
"t01","วัน","wan","day","time","YES","","",""
"t02","คืน","kheun","night","time","YES","","",""
"t05","ปี","bpee","year","time","YES","","",""
"t06","วันนี้","wan-née","today","time","YES","","",""
"t07","พรุ่งนี้","phrûng-née","tomorrow","time","YES","","",""
"t08","เมื่อวาน","mêua-waan","yesterday","time","YES","","",""
"t14","วันจันทร์","wan-jan","Monday","time","YES","","",""
"t15","วันอังคาร","wan-ang-khaan","Tuesday","time","YES","","",""
"t16","วันพุธ","wan-phút","Wednesday","time","YES","","",""
"t17","วันพฤหัส","wan-pá-rúe-hàt","Thursday","time","YES","","",""
"t18","วันศุกร์","wan-sùk","Friday","time","YES","","",""
"t19","วันเสาร์","wan-sǎo","Saturday","time","YES","","",""
"f01","ข้าว","khâao","rice","food","YES","","",""
"f02","น้ำ","nám","water","food","YES","","",""
"f03","ผัดไทย","phàt-thai","pad thai","food","YES","","",""
"f04","ต้มยำ","dtôm-yam","tom yum soup","food","YES","","",""
"f05","แกงเขียวหวาน","gaeng-kǐao-wǎan","green curry","food","YES","","",""
"f06","ส้มตำ","sôm-dtam","papaya salad","food","YES","","",""
"f09","เนื้อ","néua","beef","food","YES","","",""
"f10","หมู","mǔu","pork","food","YES","","",""
"f11","ไก่","gài","chicken","food","YES","","",""
"f12","ปลา","bplaa","fish","food","YES","","",""
"f13","กุ้ง","gûng","shrimp","food","YES","","",""
"f14","ผัก","phàk","vegetables","food","YES","","",""
"f15","เผ็ด","phèt","spicy","food","YES","","",""
"f16","หวาน","wǎan","sweet","food","YES","","",""
"f17","เปรี้ยว","bprîao","sour","food","YES","","",""
"f18","เค็ม","khem","salty","food","YES","","",""
"f19","กาแฟ","gaa-fae","coffee","food","YES","","",""
"f20","ชา","chaa","tea","food","YES","","",""
"f21","เบียร์","bia","beer","food","YES","","",""
"f22","นม","nom","milk","food","YES","","",""
"f26","อิ่ม","ìm","full (after eating)","food","YES","","",""
"f27","หิว","hǐu","hungry","food","YES","","",""
"f28","อร่อย","a-ròi","delicious","food","YES","","",""
"f30","น้ำผลไม้","nám-phon-lá-mái","fruit juice","food","YES","","",""
"p01","บ้าน","bâan","home","places","YES","","",""
"p02","โรงแรม","rohng-raem","hotel","places","YES","","",""
"p03","ตลาด","dtà-làat","market","places","YES","","",""
"p04","ร้าน","ráan","shop","places","YES","","",""
"p05","โรงพยาบาล","rohng-phá-yaa-baan","hospital","places","YES","","",""
"p06","สนามบิน","sà-nǎam-bin","airport","places","YES","","",""
"p07","รถ","rót","car","places","YES","","",""
"p08","รถแท็กซี่","rót-táek-sêe","taxi","places","YES","","",""
"p09","รถตุ๊กตุ๊ก","rót-dtúk-dtúk","tuk-tuk","places","YES","","",""
"p10","เรือ","reua","boat","places","YES","","",""
"p11","เครื่องบิน","khrêuang-bin","airplane","places","YES","","",""
"p12","ถนน","thà-nǒn","road","places","YES","","",""
"p13","ซ้าย","sáai","left","places","YES","","",""
"p14","ขวา","kwǎa","right","places","YES","","",""
"p15","ตรงไป","dtrong-bpai","straight ahead","places","YES","","",""
"p16","ใกล้","glâi","near","places","YES","","",""
"p17","ไกล","glai","far","places","YES","","",""
"p19","วัด","wát","temple","places","YES","","",""
"c01","แดง","daeng","red","colors","YES","","",""
"c02","น้ำเงิน","nám-ngern","blue","colors","YES","","",""
"c03","เขียว","kǐao","green","colors","YES","","",""
"c04","เหลือง","lěuang","yellow","colors","YES","","",""
"c05","ขาว","khǎao","white","colors","YES","","",""
"c06","ดำ","dam","black","colors","YES","","",""
"fam01","พ่อ","phôr","father","family","YES","","",""
"fam02","แม่","mâe","mother","family","YES","","",""
"fam03","พี่","phêe","older sibling","family","YES","","",""
"fam04","น้อง","nóng","younger sibling","family","YES","","",""
"fam05","ลูก","lûuk","child","family","YES","","",""
"fam06","สามี","sǎa-mee","husband","family","YES","","",""
"fam07","ภรรยา","phan-rá-yaa","wife","family","YES","","",""
"fam08","เพื่อน","phêuan","friend","family","YES","","",""
"fam09","แฟน","faen","partner","family","YES","","",""
"fam10","ครอบครัว","khrôp-khrua","family","family","YES","","",""
"v01","ไป","bpai","go","verbs","YES","","",""
"v02","มา","maa","come","verbs","YES","","",""
"v03","กลับ","glàp","return","verbs","YES","","",""
"v04","นั่ง","nâng","sit","verbs","YES","","",""
"v05","ยืน","yeun","stand","verbs","YES","","",""
"v06","นอน","non","sleep","verbs","YES","","",""
"v09","พูด","phûut","speak","verbs","YES","","",""
"v10","ฟัง","fang","listen","verbs","YES","","",""
"v11","อ่าน","àan","read","verbs","YES","","",""
"v12","เขียน","khǐan","write","verbs","YES","","",""
"v13","ดู","duu","watch","verbs","YES","","",""
"v14","ซื้อ","séu","buy","verbs","YES","","",""
"v15","ขาย","khǎai","sell","verbs","YES","","",""
"v16","ช่วย","chûay","help","verbs","YES","","",""
"v17","รอ","ror","wait","verbs","YES","","",""
"v18","รู้","rúu","know","verbs","YES","","",""
"v19","ชอบ","chôp","like","verbs","YES","","",""
"v20","รัก","rák","love","verbs","YES","","",""
"v23","เรียน","rian","study","verbs","YES","","",""
"v24","ทำงาน","tham-ngaan","work","verbs","YES","","",""
"v27","ตอบ","dtòp","answer","verbs","YES","","",""
"v28","คิด","khít","think","verbs","YES","","",""
"v29","จำ","jam","remember","verbs","YES","","",""
"v30","ต้องการ","dtông-gaan","want / need","verbs","YES","","",""
"a01","ดี","dee","good","adjectives","YES","","",""
"a02","แย่","yâe","bad","adjectives","YES","","",""
"a03","สวย","sǔay","beautiful","adjectives","YES","","",""
"a04","ใหม่","mài","new","adjectives","YES","","",""
"a05","เก่า","gào","old","adjectives","YES","","",""
"a06","ใหญ่","yài","big","adjectives","YES","","",""
"a07","เล็ก","lék","small","adjectives","YES","","",""
"a08","ร้อน","rón","hot","adjectives","YES","","",""
"a09","เย็น","yen","cold","adjectives","YES","","",""
"a10","เหนื่อย","nèuay","tired","adjectives","YES","","",""
"a11","สนุก","sà-nùk","fun","adjectives","YES","","",""
"a12","ง่าย","ngâai","easy","adjectives","YES","","",""
"a13","ยาก","yâak","difficult","adjectives","YES","","",""
"a14","สูง","sǔung","tall","adjectives","YES","","",""
"a15","เตี้ย","dtîa","short","adjectives","YES","","",""
"a16","เงียบ","ngîap","quiet","adjectives","YES","","",""
"a17","ดัง","dang","loud","adjectives","YES","","",""
"a18","สะอาด","sà-àat","clean","adjectives","YES","","",""
"a19","สกปรก","sòk-gà-bpròk","dirty","adjectives","YES","","",""
"a20","เร็ว","reo","fast","adjectives","YES","","",""
"a21","ช้า","cháa","slow","adjectives","YES","","",""
"a22","เยอะ","yér","a lot","adjectives","YES","","",""
"a23","น้อย","nói","a little","adjectives","YES","","",""
"a24","มาก","mâak","very","adjectives","YES","","",""
"a25","ดีมาก","dee-mâak","very good","adjectives","YES","","",""
"w10","ชื้น","chéuun","humid","weather","YES","","",""
"w11","ลูกเห็บ","lôok-hèp","hail","weather","YES","","",""
"w12","น้ำแข็ง","nám-kǎeng","ice","weather","YES","","",""
"w13","ฟ้าร้อง","fáa-rórng","thunder","weather","YES","","",""
"w14","ฟ้าแลบ","fáa-lâep","lightning","weather","YES","","",""
"g19","ชื่อ","chêu","name","greetings","","","",""
"g20","คน","khon","person","greetings","","","",""
"n01","ศูนย์","sǔun","zero","numbers","","","",""
"n14","พัน","phan","one thousand","numbers","","","",""
"n15","หมื่น","mèun","ten thousand","numbers","","","",""
"n16","สิบเอ็ด","sìp-èt","eleven","numbers","","","",""
"n17","สิบสอง","sìp-sǒng","twelve","numbers","","","",""
"n18","สิบสาม","sìp-sǎam","thirteen","numbers","","","",""
"n19","สิบสี่","sìp-sèe","fourteen","numbers","","","",""
"n20","สิบห้า","sìp-hâa","fifteen","numbers","","","",""
"n21","สิบหก","sìp-hòk","sixteen","numbers","","","",""
"n22","สิบเจ็ด","sìp-jèt","seventeen","numbers","","","",""
"n23","สิบแปด","sìp-bpàet","eighteen","numbers","","","",""
"n24","สิบเก้า","sìp-gâo","nineteen","numbers","","","",""
"n25","สามสิบ","sǎam-sìp","thirty","numbers","","","",""
"n26","สี่สิบ","sèe-sìp","forty","numbers","","","",""
"n27","ห้าสิบ","hâa-sìp","fifty","numbers","","","",""
"n28","หกสิบ","hòk-sìp","sixty","numbers","","","",""
"n29","เจ็ดสิบ","jèt-sìp","seventy","numbers","","","",""
"n30","แปดสิบ","bpàet-sìp","eighty","numbers","","","",""
"n31","เก้าสิบ","gâo-sìp","ninety","numbers","","","",""
"n32","ล้าน","láan","one million","numbers","","","",""
"t03","สัปดาห์","sàp-daa","week","time","","","",""
"t04","เดือน","deuan","month","time","","","",""
"t09","ตอนเช้า","dton-cháo","morning","time","","","",""
"t10","ตอนบ่าย","dton-bàai","afternoon","time","","","",""
"t11","ตอนเย็น","dton-yen","evening","time","","","",""
"t12","ตอนนี้","dton-née","now","time","","","",""
"t13","เร็วๆ นี้","reo-reo-née","soon","time","","","",""
"t20","วันอาทิตย์","wan-aa-thít","Sunday","time","","","",""
"t21","เที่ยงวัน","tîang-wan","midday","time","","","",""
"t22","เที่ยงคืน","tîang-keun","midnight","time","","","",""
"t23","คืนนี้","keun-née","tonight","time","","","",""
"t24","มะรืนนี้","má-reun-née","the day after tomorrow","time","","","",""
"t25","เมื่อวานซืน","mêua-waan-seun","the day before yesterday","time","","","",""
"t26","ดึก","dèuk","late at night","time","","","",""
"t27","สุดสัปดาห์","sùt-sàp-daa","weekend","time","","","",""
"t28","ทศวรรษ","tót-sà-wát","decade","time","","","",""
"t29","มกราคม","má-gà-raa-kom","January","time","","","",""
"t30","กุมภาพันธ์","gum-paa-pan","February","time","","","",""
"t31","มีนาคม","mee-naa-kom","March","time","","","",""
"t32","เมษายน","may-sǎa-yon","April","time","","","",""
"t33","พฤษภาคม","préut-sà-paa-kom","May","time","","","",""
"t34","มิถุนายน","mí-tù-naa-yon","June","time","","","",""
"t35","กรกฎาคม","gà-rá-gà-daa-kom","July","time","","","",""
"t36","สิงหาคม","sǐng-hǎa-kom","August","time","","","",""
"t37","กันยายน","gan-yaa-yon","September","time","","","",""
"t38","ตุลาคม","dtù-laa-kom","October","time","","","",""
"t39","พฤศจิกายน","préut-sà-jì-gaa-yon","November","time","","","",""
"t40","ธันวาคม","tan-waa-kom","December","time","","","",""
"t41","ฤดูใบไม้ผลิ","réu-doo-bai-máai-plì","spring","time","","","",""
"t42","ฤดูร้อน","réu-doo-rórn","summer","time","","","",""
"t43","ฤดูใบไม้ร่วง","réu-doo-bai-máai-rûang","autumn","time","","","",""
"t44","ฤดูหนาว","réu-doo-nǎao","winter","time","","","",""
"f07","มะม่วง","má-mûang","mango","food","","","",""
"f08","กล้วย","glûay","banana","food","","","",""
"f23","ไข่","khài","egg","food","","","",""
"f24","ข้าวผัด","khâao-phàt","fried rice","food","","","",""
"f25","ร้านอาหาร","ráan-aa-hǎan","restaurant","food","","","",""
"f29","ไม่เผ็ด","mâi-phèt","not spicy","food","","","",""
"f31","น้ำผักผลไม้","nám-pàk-pǒn-lá-mái","juice (veg & fruit)","food","","","",""
"f32","ผักกินหัว","pàk-gin-hǔa","root vegetable","food","","","",""
"f33","ใบ","bai","leaf","food","","","",""
"f34","เปลือก","bplèuak","peel / rind / skin","food","","","",""
"f35","เมล็ด","má-lét","pip / seed","food","","","",""
"p18","ธนาคาร","thá-naa-khaan","bank","places","","","",""
"p20","ชายหาด","chaai-hàat","beach","places","","","",""
"p21","โรงเรียน","rohng-rian","school","places","","","",""
"p23","สำนักงาน","sǎm-nák-ngaan","office","places","","","",""
"p24","บริษัท","bor-rí-sàt","company","places","","","",""
"p25","ธุรกิจ","tú-rá-gìt","business","places","","","",""
"p26","โรงงาน","rohng-ngaan","factory","places","","","",""
"p27","รัฐบาล","rát-tà-baan","government","places","","","",""
"c07","ชมพู","chom-phuu","pink","colors","","","",""
"c08","ส้ม","sôm","orange","colors","","","",""
"c09","ม่วง","mûang","purple","colors","","","",""
"c10","น้ำตาล","nám-dtaan","brown","colors","","","",""
"fam11","ลูกชาย","lûuk-chaai","son","family","","","",""
"fam12","ลูกสาว","lûuk-sǎao","daughter","family","","","",""
"fam13","พ่อแม่","phôr-mâe","parents","family","","","",""
"fam14","พี่ชาย","phêe-chaai","older brother","family","","","",""
"fam15","น้องชาย","nórng-chaai","younger brother","family","","","",""
"fam16","พี่สาว","phêe-sǎao","older sister","family","","","",""
"fam17","น้องสาว","nórng-sǎao","younger sister","family","","","",""
"fam22","หลานชาย","lǎan-chaai","grandson / nephew","family","","","",""
"fam23","หลานสาว","lǎan-sǎao","granddaughter / niece","family","","","",""
"fam24","ลุง","lung","uncle (older)","family","","","",""
"fam25","ป้า","bpâa","aunt (older)","family","","","",""
"fam28","ลูกเขย","lûuk-kǒey","son-in-law","family","","","",""
"fam29","ลูกสะใภ้","lûuk-sà-pái","daughter-in-law","family","","","",""
"fam30","พ่อสามี","phôr-sǎa-mee","father-in-law","family","","","",""
"fam31","แม่สามี","mâe-sǎa-mee","mother-in-law","family","","","",""
"fam32","พี่เขย","phêe-kǒey","brother-in-law","family","","","",""
"fam33","พี่สะใภ้","phêe-sà-pái","sister-in-law","family","","","",""
"fam34","แม่เลี้ยง","mâe-líang","stepmother","family","","","",""
"fam35","พ่อเลี้ยง","phôr-líang","stepfather","family","","","",""
"fam36","ลูกเลี้ยงผู้ชาย","lûuk-líang-pôo-chaai","stepson","family","","","",""
"fam37","ลูกเลี้ยงผู้หญิง","lûuk-líang-pôo-yǐng","stepdaughter","family","","","",""
"fam38","คู่หมั้น","kôo-mân","fiancé / fiancée","family","","","",""
"fam39","ลูกพี่ลูกน้อง","lûuk-phêe-lûuk-nórng","cousin","family","","","",""
"fam40","ญาติพี่น้อง","yâat-phêe-nórng","extended family / relatives","family","","","",""
"fam41","เด็ก","dèk","kid","family","","","",""
"fam42","เด็กทารก","dèk-taa-rók","baby","family","","","",""
"fam43","วัยรุ่น","wai-rûn","teenager","family","","","",""
"v07","เดิน","dern","walk","verbs","","","",""
"v08","วิ่ง","wîng","run","verbs","","","",""
"v21","เปิด","bpèrt","open","verbs","","","",""
"v22","ปิด","bpìt","close","verbs","","","",""
"v25","เล่น","lên","play","verbs","","","",""
"v26","ถาม","thǎam","ask","verbs","","","",""
"per01","คนอังกฤษ","khon-ang-grìt","English / British person","personal","","","",""
"per02","คนสกอตแลนด์","khon-sà-gòt-laen","Scottish person","personal","","","",""
"per03","คนไอร์แลนด์","khon-ai-laen","Irish person","personal","","","",""
"per04","คนเวลส์","khon-wew","Welsh person","personal","","","",""
"per05","ประเทศ","bprà-tâyt","country","personal","","","",""
"per06","อายุ","aa-yú","age","personal","","","",""
"per07","เกิด","gèrt","to be born","personal","","","",""
"per08","อยู่","yùu","to live / reside","personal","","","",""
"per09","พัก","phák","to stay","personal","","","",""
"per10","แต่งงาน","dtàeng-ngaan","to marry / married","personal","","","",""
"per11","โสด","sòht","single","personal","","","",""
"per12","หย่า","yàa","divorced","personal","","","",""
"per13","ม่าย","mâai","widowed","personal","","","",""
"w01","อากาศ","aa-gàat","weather","weather","","","",""
"w02","แดด","dàet","sunshine","weather","","","",""
"w03","เมฆ","mêek","cloud","weather","","","",""
"w04","หมอก","mòrk","fog / mist","weather","","","",""
"w05","ฝน","fǒn","rain","weather","","","",""
"w06","หิมะ","hì-má","snow","weather","","","",""
"w07","ลม","lom","wind","weather","","","",""
"w08","พายุ","paa-yú","storm","weather","","","",""
"w09","อุ่น","ùn","warm","weather","","","",""
"fe01","มีความสุข","mee-kwaam-sùk","happy","feelings","","","",""
"fe02","สบายดี","sà-baai-dee","well / fine","feelings","","","",""
"fe04","หิวน้ำ","hǐw-náam","thirsty","feelings","","","",""
"fe06","หนาว","nǎao","cold (feeling)","feelings","","","",""
"fe07","ตื่นเต้น","dtèun-dtên","excited","feelings","","","",""
"fe08","แปลกใจ","bplàek-jai","surprised","feelings","","","",""
"fe09","รำคาญ","ram-kaan","annoyed","feelings","","","",""
"fe10","เสียใจ","sǐa-jai","sad","feelings","","","",""
"fe11","กังวล","gang-won","worried","feelings","","","",""
"fe12","กลัว","glua","afraid","feelings","","","",""
"fe13","เบื่อ","bèua","bored","feelings","","","",""
"fe14","ไม่ค่อยสบาย","mâi-kôy-sà-baai","unwell","feelings","","","",""
"fe15","ดีขึ้น","dee-kêun","better","feelings","","","",""
"fe16","แย่ลง","yâe-long","worse","feelings","","","",""
"j01","ครู","kroo","teacher","jobs","","","",""
"j02","หมอ","mǒr","doctor","jobs","","","",""
"j03","พยาบาล","phá-yaa-baan","nurse","jobs","","","",""
"j04","ทันตแพทย์","tan-dtà-pâirt","dentist","jobs","","","",""
"j05","สัตวแพทย์","sàt-dtà-wá-pâirt","vet","jobs","","","",""
"j06","ตำรวจ","dtam-rùat","police officer","jobs","","","",""
"j07","ทหาร","tá-hǎan","soldier","jobs","","","",""
"j08","นักดับเพลิง","nák-dàp-plerng","firefighter","jobs","","","",""
"j09","ทนาย","tá-naai","lawyer","jobs","","","",""
"j10","วิศวกร","wít-sà-wá-gorn","engineer","jobs","","","",""
"j11","นักวิทยาศาสตร์","nák-wít-tá-yaa-sàat","scientist","jobs","","","",""
"j12","พ่อครัว","phôr-krua","chef / cook","jobs","","","",""
"j13","พนักงานเสิร์ฟ","pá-nák-ngaan-sèrp","waiter / waitress","jobs","","","",""
"j14","คนขับรถ","kon-kàp-rót","driver","jobs","","","",""
"j15","ช่างไฟ","châang-fai","electrician","jobs","","","",""
"j16","ช่างประปา","châang-bprà-bpaa","plumber","jobs","","","",""
"j17","ช่างยนต์","châang-yon","mechanic","jobs","","","",""
"j18","ช่างไม้","châang-máai","joiner / carpenter","jobs","","","",""
"j19","ช่างก่อสร้าง","châang-gòr-sâang","builder","jobs","","","",""
"j20","คนทำความสะอาด","kon-tam-kwaam-sà-àat","cleaner","jobs","","","",""
"j21","เกษตรกร","gà-sàyt-dtrà-gorn","farmer","jobs","","","",""
"j22","ชาวประมง","chaao-bprà-mong","fisherman","jobs","","","",""
"j23","กะลาสี","gà-laa-sěe","sailor","jobs","","","",""
"j24","นักข่าว","nák-kàao","journalist","jobs","","","",""
"j25","ข้าราชการ","kâa-râat-chá-garn","civil servant","jobs","","","",""
"j26","พนักงานขาย","pá-nák-ngaan-kǎai","salesperson","jobs","","","",""
"j27","พนักงานบริษัท","pá-nák-ngaan-bor-rí-sàt","office worker","jobs","","","",""
"j28","พนักงานไอที","pá-nák-ngaan-ai-tee","IT worker","jobs","","","",""
"v31","ขับรถ","kàp-rót","to drive","verbs","","","",""
"v32","เลี้ยว","líaw","to turn","verbs","","","",""
"v33","หยุด","yùt","to stop","verbs","","","",""
"v34","แซง","sairng","to overtake","verbs","","","",""
"v35","จอด","jòrt","to park","verbs","","","",""
"v36","ถอยหลัง","tǒy-lǎng","to reverse","verbs","","","",""
"v37","ลดความเร็ว","lót-kwaam-rew","to slow down","verbs","","","",""
"v38","เร่งความเร็ว","râyng-kwaam-rew","to speed up","verbs","","","",""
